City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2021-11-22 21:25:30,-20.4081,57.7,73.69,83,40,2.3
1,Saint-Louis,SN,2021-11-22 21:25:30,16.3333,-15.0,85.64,15,90,8.86
2,Albany,US,2021-11-22 21:21:32,42.6001,-73.9662,39.09,54,68,1.01
3,Punta Arenas,CL,2021-11-22 21:22:11,-53.15,-70.9167,48.31,40,75,23.02
4,Camacha,PT,2021-11-22 21:25:31,33.0833,-16.3333,65.62,88,40,8.05
5,Koster,ZA,2021-11-22 21:25:31,-25.863,26.8976,58.41,85,100,4.36
6,Cape Town,ZA,2021-11-22 21:21:03,-33.9258,18.4232,65.1,59,0,23.02
7,Oussouye,SN,2021-11-22 21:25:32,12.485,-16.5469,80.78,74,100,5.88
8,Narsaq,GL,2021-11-22 21:25:32,60.9167,-46.05,23.22,75,100,4.85
9,Awjilah,LY,2021-11-22 21:25:33,29.1081,21.2869,64.47,47,18,10.42
10,Isangel,VU,2021-11-22 21:22:47,-19.55,169.2667,84.31,79,40,0.0
11,San Carlos De Bariloche,AR,2021-11-22 21:23:23,-41.1456,-71.3082,71.44,31,0,27.63
12,Waddan,LY,2021-11-22 21:25:34,29.1614,16.139,68.63,36,77,5.79
13,Lompoc,US,2021-11-22 21:25:34,34.6391,-120.4579,84.85,32,1,10.36
14,Leningradskiy,RU,2021-11-22 21:25:35,69.3833,178.4167,-16.83,95,31,5.08
15,Grand Gaube,MU,2021-11-22 21:25:35,-20.0064,57.6608,73.8,77,0,4.0
16,Yellowknife,CA,2021-11-22 21:25:35,62.456,-114.3525,-1.59,78,75,16.11
17,Kapaa,US,2021-11-22 21:25:36,22.0752,-159.319,82.72,71,75,1.01
18,Castro,BR,2021-11-22 21:25:36,-24.7911,-50.0119,74.66,50,12,3.02
19,Rikitea,PF,2021-11-22 21:25:36,-23.1203,-134.9692,75.0,68,1,10.87
20,Provideniya,RU,2021-11-22 21:25:37,64.3833,-173.3,8.71,61,20,8.95
21,Pyay,MM,2021-11-22 21:25:37,18.8167,95.2167,71.65,92,10,1.88
22,Ushuaia,AR,2021-11-22 21:21:33,-54.8,-68.3,42.46,56,75,27.63
23,Ambulu,ID,2021-11-22 21:16:37,-8.345,113.6058,75.83,94,100,5.08
24,Vaini,TO,2021-11-22 21:25:38,-21.2,-175.2,82.56,78,20,6.91
25,Port Elizabeth,ZA,2021-11-22 21:25:38,-33.918,25.5701,66.49,88,90,5.75
26,Husavik,IS,2021-11-22 21:25:39,66.0449,-17.3389,46.31,76,72,19.26
27,Jamestown,US,2021-11-22 21:23:22,42.097,-79.2353,32.02,72,90,8.99
28,Yaan,NG,2021-11-22 21:25:39,7.3833,8.5667,84.2,52,100,8.52
29,Linguere,SN,2021-11-22 21:25:40,15.3953,-15.1193,84.42,34,0,4.61
30,Atuona,PF,2021-11-22 21:25:40,-9.8,-139.0333,77.49,79,48,13.47
31,Tokoname,JP,2021-11-22 21:25:40,34.8833,136.85,51.67,71,75,23.02
32,Cabo San Lucas,MX,2021-11-22 21:25:41,22.8909,-109.9124,84.61,60,20,4.0
33,Butia,BR,2021-11-22 21:25:41,-30.1197,-51.9622,88.61,37,0,1.19
34,Hobyo,SO,2021-11-22 21:25:42,5.3505,48.5268,79.88,67,99,12.39
35,Canning,IN,2021-11-22 21:25:42,22.3189,88.6714,77.02,69,11,1.43
36,Barrow,US,2021-11-22 21:25:42,71.2906,-156.7887,-5.78,77,1,8.05
37,Hermanus,ZA,2021-11-22 21:25:43,-34.4187,19.2345,63.9,71,87,13.02
38,Dalianwan,CN,2021-11-22 21:25:43,39.0286,121.695,33.84,44,0,11.18
39,Kindu,CD,2021-11-22 21:17:22,-2.95,25.95,68.67,99,97,2.95
40,Tasiilaq,GL,2021-11-22 21:25:44,65.6145,-37.6368,26.76,54,43,7.4
41,Bluff,NZ,2021-11-22 21:25:44,-46.6,168.3333,52.92,63,67,9.42
42,Nikolskoye,RU,2021-11-22 21:25:45,59.7035,30.7861,23.81,91,94,4.21
43,Hilo,US,2021-11-22 21:25:45,19.7297,-155.09,81.25,68,20,5.75
44,Shu,KZ,2021-11-22 21:25:45,43.5983,73.7614,37.22,60,21,6.62
45,Avarua,CK,2021-11-22 21:25:46,-21.2078,-159.775,78.85,78,90,8.05
46,Faanui,PF,2021-11-22 21:25:46,-16.4833,-151.75,80.26,77,31,7.45
47,Bethel,US,2021-11-22 21:25:47,41.3712,-73.414,48.04,71,90,1.99
48,Kharan,PK,2021-11-22 21:25:47,28.5833,65.4167,58.75,17,0,6.91
49,Port Alfred,ZA,2021-11-22 21:25:47,-33.5906,26.891,67.1,90,100,15.66
50,Okha,RU,2021-11-22 21:25:48,53.5739,142.9478,31.78,83,100,29.55
51,Southbridge,US,2021-11-22 21:24:42,42.0751,-72.0334,48.96,73,100,4.0
52,Katsuura,JP,2021-11-22 21:16:29,35.1333,140.3,57.31,85,100,10.65
53,East London,ZA,2021-11-22 21:25:48,-33.0153,27.9116,66.61,90,99,10.42
54,Hamilton,US,2021-11-22 21:17:53,39.1834,-84.5333,41.11,47,1,1.01
55,Asyut,EG,2021-11-22 21:25:49,27.181,31.1837,60.98,51,0,3.71
56,Santa Cruz,BO,2021-11-22 21:13:17,-17.8,-63.1667,92.01,41,89,11.74
